NSE: MONEY_CONTROL


3MINDIA, B3M
ACC, ACC
AIAENG, AIE01
APLAPOLLO, BT09
AUBANK, ASF03
AARTIIND, AI
AAVAS, AF32
ABBOTINDIA, KP
ADANIGAS, ADG01
ADANIGREEN, ADANI54145
ADANIPORTS, MPS
ADANIPOWER, AP26
ADANITRANS, AT18
ABCAPITAL, ABC07
ABFRL, PFR
ADVENZYMES, AET02
AEGISCHEM, AC02
AFFLE, AI72
AJANTPHARM, AP22
AKZOINDIA, ICI
APLLTD, AP29
ALKEM, AL16
ALLCARGO, AGL02
AMARAJABAT, ARB
AMBER, AEI01
AMBUJACEM, GAC
APOLLOHOSP, AHE
APOLLOTYRE, AT
ARVINDFASN, ARVIN54248
ASAHIINDIA, AIS
ASHOKLEY, AL
ASHOKA, AB
ASIANPAINT, API
ASTERDM, ADH
ASTRAZEN, AID
ASTRAL, APT02
ATUL, A06
AUROPHARMA, AP
AVANTIFEED, AF21
DMART, AS28
AXISBANK, UTI10
BASF, BAS
BEML, BEM
BSE, B03
BAJAJ-AUTO, BA06
BAJAJCON, BC14
BAJAJELEC, BE
BAJFINANCE, BAF
BAJAJFINSV, BF04
BAJAJHLDNG, BA
BALKRISIND, BI03
BALMLAWRIE, BLC
BALRAMCHIN, BCM
BANDHANBNK, BB09
BANKBARODA, BOB
BANKINDIA, BOI
MAHABANK, BM05
BATAINDIA, BI01
BAYERCROP, HSA01
BERGEPAINT, BPI02
BDL, BDL01
BEL, BE03
BHARATFORG, BFC
BHEL, BHE
BPCL, BPC
BHARTIARTL, BTV
INFRATEL, BI26
BIOCON, BL03
BIRLACORPN, BC07
BSOFT, KPI01
BLISSGVS, BCP01
BLUEDART, BDE
BLUESTARCO, BS
BBTC, BBT
BOMDYEING, BDM
BOSCHLTD, MIC
BRIGADE, BE08
BRITANNIA, BI
CARERATING, CAR
CCL, CC10
CESC, CES
CRISIL, CRI
CADILAHC, CHC
CANFINHOME, CFH
CANBK, CB06
CAPLIPOINT, CPL
CGCL, DSL01
CARBORUNIV, CU
CASTROLIND, CI01
CEATLTD, C07
CENTRALBK, CBO01
CDSL, CDS
CENTURYPLY, CP9
CERA, MOF
CHALET, CH03
CHAMBLFERT, CFC
CHENNPETRO, MR
CHOLAHLDNG, TII
CHOLAFIN, CIF01
CIPLA, C
CUB, CUB
COALINDIA, CI29
COCHINSHIP, CS17
COLPAL, CPI
CONCOR, CCI
COROMANDEL, CF06
CREDITACC, CG02
CROMPTON, CGC01
CUMMINSIND, CI02
CYIENT, IE07
DBCORP, C13
DCBBANK, DCB01
DCMSHRIRAM, DCM02
DLF, D04
DABUR, DI
DALBHARAT, OCL
DEEPAKNTR, DN
DELTACORP, AW
DHFL, DHF
DBL, DB03
DISHTV, DTV
DCAL, DCA
DIVISLAB, DL03
DIXON, DT07
LALPATHLAB, DLP01
DRREDDY, DRL
EIDPARRY, EID
EIHOTEL, EIH
EDELWEISS, EC06
EICHERMOT, EM
ELGIEQUIP, EE01
EMAMILTD, E05
ENDURANCE, ET04
ENGINERSIN, EI14
EQUITAS, EH03
ERIS, EL01
ESCORTS, E
ESSELPACK, EP
EXIDEIND, EI
FDC, FDC
FEDERALBNK, FB
FMGOETZE, GI09
FINEORG, FOI
FINCABLES, FC01
FINPIPE, FI
FSL, FS07
FORTIS, FH
FCONSUMER, FVI
FLFL, FLF01
FRETAIL, FR
GAIL, GAI
GEPIL, ABB01
GET&D, GEC
GHCL, GHC
GMRINFRA, GI27
GALAXYSURF, GSL06
GARFIBRES, GWR
GAYAPROJ, GP10
GICRE, GIC12
GILLETTE, ISP
GLAXO, SB
GLENMARK, GP08
GODFRYPHLP, GPI
GODREJAGRO, GA08
GODREJCP, GCP
GODREJIND, GS
GODREJPROP, GP11
GRANULES, GI22
GRAPHITE, GI13
GRASIM, GI01
GESHIP, GES
GREAVESCOT, G
GRINDWELL, GN
GUJALKALI, GAC01
GUJGASLTD, GGC
GMDCLTD, GMD
GNFC, GNV
GPPL, GPP03
GSFC, GSF
GSPL, GSP02
GULFOILLUB, GOL01
HEG, HEG
HCLTECH, HCL02
HDFCAMC, HAM02
HDFCBANK, HDF01
HDFCLIFE, HSL01
HFCL, HFC
HATSUN, HAP
HAVELLS, HI01
HEIDELBERG, MC14
HERITGFOOD, HFI
HEROMOTOCO, HHM
HEXAWARE, A
HSCL, HCI01
HIMATSEIDE, HS
HINDALCO, H
HAL, HAL
HINDCOPPER, HC07
HINDPETRO, HPC
HINDUNILVR, HL
HINDZINC, HZ
HONAUT, TH
HUDCO, HUD
HDFC, HDF01
ICICIBANK, ICI02
ICICIGI, ILG
ICICIPRULI, IPL01
ISEC, ISL03
ICRA, ICR
IDBI, IDB
IDFCFIRSTB, IDF01
IDFC, IDF01
IFBIND, IFB02
IFCI, IFC
IIFL, IIFLW54277
IRB, IID01
IRCON, II21
ITC, ITC
ITDCEM, THC
ITI, ITI
INDIACEM, IC
ITDC, THC
IBULHSGFIN, IHF01
IBULISL, IWS
IBREALEST, IRE01
IBVENTURES, IS08
INDIAMART, II22
INDIANB, IB04
IEX, IEE
INDHOTEL, IHC
IOC, IOC
IOB, IOB
INDOSTAR, ICF01
IGL, IG04
INDUSINDBK, IIB
INFIBEAM, IIL03
NAUKRI, IEI01
INFY, IT
INOXLEISUR, INO01
INTELLECT, IDA
INDIGO, IA05
IPCALAB, IL
JBCHEPHARM, JBC
JKCEMENT, JKC03
JKLAKSHMI, JKC
JKPAPER, CPM01
JKTYRE, JKI
JMFINANCIL, JMS
JSWENERGY, JE02
